record_id,source_id,prepolymer_record_id,example_id,substrate,cure_temp_c,relative_humidity_pct,stress_1h_psi,failure_1h,stress_24h_psi,failure_24h,stress_168h_psi,failure_168h,test_standard,crosshead_speed_in_min,replicates,evidence_locator,notes
RESINATE17_LS_7_Al,PAT_US20170066950A1,RESINATE17_PRE_7,7,Al,25,50,34,N/A,569,CF,713,AF,ASTM D1002,12,3,Table 3,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_7_PC,PAT_US20170066950A1,RESINATE17_PRE_7,7,PC,25,50,50,CF,523,CF,592,AF,ASTM D1002,12,3,Table 3,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_7_PE,PAT_US20170066950A1,RESINATE17_PRE_7,7,PE,25,50,45,N/A,36,AF,36,AF,ASTM D1002,12,3,Table 3,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_7_PVC,PAT_US20170066950A1,RESINATE17_PRE_7,7,PVC,25,50,41,N/A,1046,SF,976,SF,ASTM D1002,12,3,Table 3,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_C4_Al,PAT_US20170066950A1,RESINATE17_PRE_C4,C4,Al,25,50,380,CF,520,AF|CF,780,AF|CF,ASTM D1002,12,3,Table 2,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_C4_PC,PAT_US20170066950A1,RESINATE17_PRE_C4,C4,PC,25,50,520,CF|AF,880,AF|CF,870,AF,ASTM D1002,12,3,Table 2,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_C4_PE,PAT_US20170066950A1,RESINATE17_PRE_C4,C4,PE,25,50,19,AF,13,AF,18,AF,ASTM D1002,12,3,Table 2,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_C4_PVC,PAT_US20170066950A1,RESINATE17_PRE_C4,C4,PVC,25,50,350,AF,960,CF,1210,SF,ASTM D1002,12,3,Table 2,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_C8_Al,PAT_US20170066950A1,RESINATE17_PRE_C8,C8,Al,25,50,280,CF,340,CF,500,AF,ASTM D1002,12,3,Table 3,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_C8_PC,PAT_US20170066950A1,RESINATE17_PRE_C8,C8,PC,25,50,430,CF,1000,CF,970,AF,ASTM D1002,12,3,Table 3,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_C8_PE,PAT_US20170066950A1,RESINATE17_PRE_C8,C8,PE,25,50,18,N/A,8,AF,23,AF,ASTM D1002,12,3,Table 3,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
RESINATE17_LS_C8_PVC,PAT_US20170066950A1,RESINATE17_PRE_C8,C8,PVC,25,50,340,CF,910,CF,940,AF,ASTM D1002,12,3,Table 3,Average of three specimens. Patent explicitly interprets the 1 h result as a green-strength indicator; 24 h and 168 h track moisture-cure development.
